QUESTION,BT_LEVEL
Discuss the main objective of layout design rules. ,K2-UNDERSTAND
The design rules are usually described in TWO (2) ways. Describe these TWO (2) ways. ,K2-UNDERSTAND
Illustrate the THREE (3) advantages of silicon over germanium. ,K2-UNDERSTAND
"Besides silicon and germanium, name ONE (1) other material that can be used as the substrate of a transistor. ",K2-UNDERSTAND
Oxidation is one of the most important thermal processes. Briefly discuss the characteristics of dry oxidation. ,K2-UNDERSTAND
"Local oxidation of silicon or LOCOS is a type of application which involves wet oxidation. With the aid of diagrams, briefly illustrate this process. ",K2-UNDERSTAND
Explain the main purpose of LOCOS. ,K2-UNDERSTAND
"Besides LOCOS, name TWO (2) other applications which require thermal processes. ",K2-UNDERSTAND
"Dielectric films can be thermally grown or deposited. Discuss the 
fundamental difference between these two methods. ",K2-UNDERSTAND
"The technology of VLSI is defined by the feature size. With the aid of a diagram, explain the feature size. ",K2-UNDERSTAND
"Besides silicon and germanium, name ONE (1) other material which could be used to fabricate transistors. ",K2-UNDERSTAND
Discuss the differences between a stick diagram and an actual layout. ,K2-UNDERSTAND
Give TWO (2) examples how intrinsic reliability failure occurs in ICs. ,K2-UNDERSTAND
"With the aid of a diagram, explain LOCOS. ",K2-UNDERSTAND
Discuss the disadvantages of LOCOS. ,K2-UNDERSTAND
Explain the purposes of scaling. ,K2-UNDERSTAND
Explain the physical meaning of transconductance. ,K2-UNDERSTAND
"There are TWO (2) common methods used in the semiconductor industry to fabricate single crystal silicon. With the aid of diagrams, name and explain the methods. ",K2-UNDERSTAND
Classify and briefly explain different computational methods used in analyzing flows in hydraulic engineering. ,K2-UNDERSTAND
"In computational methods of analyzing flows in rivers and channels, effects of turbulence are reflected in different ways depending on how the flow is modelled. Give examples of these models and explain the advantages and  shortcomings. ",K2-UNDERSTAND
List the major forces acting on the concrete body of the dam excluding earthquake and wind forces. ,K2-UNDERSTAND
"In all analysis methods, the effects of turbulence have to be modeled unless all the scales of motion are represented explicitly as in Direct Numerical Simulation (DNS). Explain why it is not practical to analyze flows in practical hydraulic engineering by DNS. ",K2-UNDERSTAND
"Name a commercially available software or an open-source software that does the computational analysis of flows of hydraulic engineering and explain what it is used for, what equations based on what assumptions it uses and how then are solved. ",K2-UNDERSTAND
Explain the possible flow patterns in the culvert depending on the level of the rain water in the car park and the drain channel. ,K2-UNDERSTAND
Describe what hydraulic engineering is in your own words showing concrete examples. ,K2-UNDERSTAND
Explain different approaches used in hydraulic engineering to achieve its objectives by giving examples. ,K2-UNDERSTAND
Explain important features and characteristics of the flows encountered in hydraulic engineering compared with cases in other fluid engineering.,K2-UNDERSTAND
Discuss the role of hydraulic engineering in the sustainable development and preservation. ,K2-UNDERSTAND
Subsurface exploration can be divided into THREE (3) programs. Explain in detail the conclusion that could be derived from each program.,K2-UNDERSTAND
Explain the use of scaffolding in construction. ,K2-UNDERSTAND
Explain THREE (3) conditions where cantilever scaffolding is applied. ,K2-UNDERSTAND
"State any TWO (2) of Malaysia's rules, regulations or standards which are related to scaffolding and falsework. ",K2-UNDERSTAND
Explain FOUR (4) major forces which move water into wall claddings and measures to be taken to eliminate these problems. You are required to include illustrations in your explanation. ,K2-UNDERSTAND
Discuss FIVE (5) advantages of IBS compared to conventional in situ concrete. ,K2-UNDERSTAND
IBS components can be divided into five broad categories. Briefly describe with examples all FIVE (5) categories. ,K2-UNDERSTAND
Discuss FIVE (5) advantages of IBS compared to conventional in situ concrete. ,K2-UNDERSTAND
"Compare the gravity retaining wall, semi gravity retaining wall and cantilever retaining wall in the aspects of shape design, maximum height and method of construction. ",K2-UNDERSTAND
Pre-cast concrete retaining walls may be constructed with any or all of the joints. Describe the THREE (3) types of joints used. ,K2-UNDERSTAND
Discuss THREE (3) situations that necessitate the use of pile foundation. ,K2-UNDERSTAND
Explain FIVE (5) characteristics of Industrialised Building System (IBS) in construction. ,K2-UNDERSTAND
List and explain the FOUR (4) considerations when selecting a basement wall. ,K2-UNDERSTAND
Describe “mechanism-based inhibitors”. ,K2-UNDERSTAND
State the forces stabilizing functional structure of enzyme which is most susceptible to drastic pH changes. Explain your answer using an example. ,K2-UNDERSTAND
Describe the principles of a coupled enzyme assay. ,K2-UNDERSTAND
Discuss the advantages and disadvantages of using laccase-based de colorization treatment.,K2-UNDERSTAND
"Enzyme therapy is applied clinically to treat Gaucher disease. Describe the cause of the disease, the therapeutic enzyme and its function. ",K2-UNDERSTAND
State the advantage of applying each step in the purification scheme. ,K2-UNDERSTAND
Draw a table indicating purification fold and yield at each step. ,K2-UNDERSTAND
Draw a diagram to illustrate the Edman degradation reaction in protein sequencing. Describe some potential complications during Edman degradation protein sequencing. ,K2-UNDERSTAND
Explain the functional advantages provided by enzymes with a quaternary structure. ,K2-UNDERSTAND
Discuss the regulation of ATCase which is an allosteric enzyme. ,K2-UNDERSTAND
Draw and label the typical heat denaturation curves for mesophilic and thermophilic enzymes. ,K2-UNDERSTAND
Describe the limitations of using ribozyme as a catalyst. ,K2-UNDERSTAND
Explain the main difference between uncompetitive and noncompetitive inhibitors. ,K2-UNDERSTAND
"Based on the aspartate protease mechanism, explain the concept of using ""Crixivan"" to treat HIV patients. ",K2-UNDERSTAND
Elaborate on the importance of 'stability' for industrial enzymes. ,K2-UNDERSTAND
"Oxygen is effectively transported by hemoglobin, regulated by some allosteric effectors in human blood. Name these allosteric effectors and discuss how their presence increases effective delivery of oxygen to tissues.",K2-UNDERSTAND
Explain the importance of using initial velocity to study enzymatic catalysis. ,K2-UNDERSTAND
Give the enzyme group number and name for acetylcholine esterase. Describe the non-covalent interactions used by acetylcholine esterase for substrate binding.,K2-UNDERSTAND
Draw a pH denaturation profile for an enzyme. Explain what happens to the enzyme during pH denaturation. ,K2-UNDERSTAND
Name two super secondary structures found within enzymes which involved formation of a-helices. Describe how the a-helices could be maintained in an enzyme. ,K2-UNDERSTAND
Draw a diagram to illustrate the Edman degradation reaction in protein sequencing. ,K2-UNDERSTAND
Describe the features of lactate dehydrogenase (LDH) as an isozyme. Discuss the diagnostic importance of LDH.,K2-UNDERSTAND
Chymotrypsin belongs to serine protease family. Describe the catalytic mechanism of chymotrypsin emphasizing the role of the catalytic triad and substrate binding site in catalysis. ,K2-UNDERSTAND
Describe the components involved in the formation of a folded enzyme. ,K2-UNDERSTAND
Give ONE example of aspartic protease. Describe the mechanism of aspartic protease in relation to how pH affects its activity. ,K2-UNDERSTAND
Define the transition state and activation energy in relation to catalytic power of an enzyme. ,K2-UNDERSTAND
"The substrates of allosteric enzymes exhibit positive cooperativity. Explain positive cooperativity in terms of subunits, conformation, and activity of the active site. ",K2-UNDERSTAND
Describe the industrial application of enzymes in beer production. ,K2-UNDERSTAND
Immobilization enables industrial enzymes to be used repeatedly. List THREE advantages of immobilized enzyme and give an example of large scale application of immobilized enzyme in industry.,K2-UNDERSTAND
Explain how changes in amino acid ionization states could affect the catalytic activity of an enzyme. ,K2-UNDERSTAND
Draw a diagram to illustrate the Edman degradation reaction in protein sequencing. ,K2-UNDERSTAND
Describe the interactions involved in stabilization of enzyme's quaternary structure. Explain which of these interactions is the least likely to be affected by denaturation at a liquid-liquid interface. ,K2-UNDERSTAND
Describe the amino acid composition that could destabilize an enzyme's helical stability. ,K2-UNDERSTAND
Describe the enzyme characteristics that are desirable in high temperature industrial applications. ,K2-UNDERSTAND
Enzymes are applied in the medical field based on their specific functions. List the THREE main areas of clinical enzymology and provide ONE example how enzymes are used in each area. ,K2-UNDERSTAND
State the conditions necessary for the formation of enzyme's quaternary structure. Explain how quaternary structure could contribute to enzyme stability. ,K2-UNDERSTAND
State TWO types of enzyme specificities that do not agree with lock and key model. Explain your answer.,K2-UNDERSTAND
Draw and label an activity temperature profile for mesophilic and thermophilic enzymes. Provide explanation to this phenomenon.,K2-UNDERSTAND
Explain the importance of using initial rate to determine enzymatic activity.,K2-UNDERSTAND
Explain the TWO main factors that could affect enzyme catalytic efficiency.,K2-UNDERSTAND
Explain how the affinity of hemoglobin for oxygen is regulated. ,K2-UNDERSTAND
Explain how competitive and uncompetitive inhibitors will affect enzymatic reactions. ,K2-UNDERSTAND
Discuss various practices to achieve maximum yield and production of crude palm oil. ,K2-UNDERSTAND
"Discuss the importance of shikimate pathway, a primary metabolism pathway related to plant secondary metabolism. ",K2-UNDERSTAND
Discuss how curing can maintain quality and minimize decay of potato tubers in the postharvest stage. ,K2-UNDERSTAND
Describe the differences in the sugar compositions between unfermented and fermented cocoa beans. ,K2-UNDERSTAND
Discuss factors which could contribute to changes in the sugar compositions of cocoa beans during fermentation. ,K2-UNDERSTAND
"Illustrate with a drawing the biochemical pathway for natural rubber biosynthesis, beginning with acetyl CoA. ",K2-UNDERSTAND
Describe the main disadvantage of palm oil with an indigenous broad melting interval ranging from -20 to 50°C. Refined palm oil is further processed to improve its marketable value. Discuss this process in relation to the secondary products from refined palm oil. ,K2-UNDERSTAND
Describe alkaloids chemically and how plants use this group of secondary metabolites to protect themselves from herbivores. ,K2-UNDERSTAND
"Illustrate with a labeled drawing the pathway of sulfate assimilation in leaf mesophyll cells. In your answer, describe how sulfate is transported from the root to leaf cells, the energy requirements of sulfate assimilation, and the fate of unassimilated sulfate. ",K2-UNDERSTAND
Explain the significance of the position of rubber-synthesizing cis prenyltransferases in the structure of a rubber particle. ,K2-UNDERSTAND
The oil palm (Elaeis guineensis) is an erect monoecious plant. Describe how its inflorescences develop into fruit and relate this to the pest control practice that could affect the productivity of the oil palm. ,K2-UNDERSTAND
The major constituent of palm oil is triglyceride. Describe TWO reactions of triglyceride which could affect the quality of vegetable oils.,K2-UNDERSTAND
Identify the key enzymes and explain their roles in fatty acid biosynthesis that contribute to the unique fatty acid composition of palm mesocarp oil.,K2-UNDERSTAND
"Discuss the benefits of palm oil, in terms of versatility, diet-health relationship and sustainability. ",K2-UNDERSTAND
"As a defence strategy, most plant secondary metabolites exert adverse effects on herbivores. Discuss how plants avoid poisoning themselves with these metabolites. ",K2-UNDERSTAND
State the TWO biological isoprene building blocks and the enzyme involved in synthesising the precursor. ,K2-UNDERSTAND
"Illustrate with a labelled drawing the pathway of nitrate assimilation in leaf mesophyll cells. In your answer, discuss the origin of nitrate that is available to the mesophyll cells, the energy requirements of nitrate assimilation, the end products, and the fate of unassimilated nitrate. ",K2-UNDERSTAND
Discuss the biological factors that cause the deterioration of cut flowers.,K2-UNDERSTAND
Discuss the importance of knowing herbicide families and mode of action. ,K2-UNDERSTAND
Give THREE examples of symptoms that resemble herbicide damage on plants. ,K2-UNDERSTAND
Discuss TWO hypotheses for invasive plants to become successful outside of their native ranges. ,K2-UNDERSTAND
Weeds reduce the quality of crops and livestock. Explain. ,K2-UNDERSTAND
Write TWO reasons on the slow adoption of biological control in weed management. ,K2-UNDERSTAND
Briefly discuss the advantage of C3 and C4 pathways for weeds. ,K2-UNDERSTAND
Give TWO examples of natural and artificial means of the seed dispersal of weeds respectively. ,K2-UNDERSTAND
Discuss issues of defining “weeds”. ,K2-UNDERSTAND
Define economic threshold and its use. ,K2-UNDERSTAND
State the objective of proactive resistance management and briefly describe THREE methods of this management. ,K2-UNDERSTAND
Discuss THREE mechanisms of vegetative reproduction that make certain weeds successful in establishment. ,K2-UNDERSTAND
Define allelopathy and list how allelopathic substance enters the environment. ,K2-UNDERSTAND
"With the aid of a flow chart, briefly describe the steps involved in developing a successful animal breeding programme. ",K2-UNDERSTAND
Describe the differences between progeny and sib testings. ,K2-UNDERSTAND
Briefly describe FOUR principles in selecting and purchasing breeding stock. ,K2-UNDERSTAND
Give ONE common crossbreed for porker production in Malaysia and name the state in Peninsular Malaysia that has the highest production rate. ,K2-UNDERSTAND
Briefly describe TWO mating methods of commercial importance for the production of fertilised eggs from breeder birds. ,K2-UNDERSTAND
Briefly describe FOUR common characteristics that are possessed by a wild animal before they could be considered for domestication. ,K2-UNDERSTAND
Give an example of trait and phenotype to describe a Belgian Blue. ,K2-UNDERSTAND
Give TWO examples how breeding is similar to natural selection. ,K2-UNDERSTAND
"State, define and list the advantage(s) and disadvantage(s) of the THREE animal selection methods for multiple traits. ",K2-UNDERSTAND
Briefly describe the advantages of marker assisted selection in farm animal breeding. ,K2-UNDERSTAND
Explain the principle of ultrasonography in pregnancy diagnosis for farm animals. ,K2-UNDERSTAND
Contrast B-mode and A-mode ultrasound systems. ,K2-UNDERSTAND
Briefly describe how poultry sexing is commonly carried out in a hatchery. ,K2-UNDERSTAND
Briefly describe the advantages of MOET in cattle breeding. ,K2-UNDERSTAND
Describe the flow of MOET procedures in cattle breeding. ,K2-UNDERSTAND
Two different soils were obtained during sampling and the distance between the two sites were only 100 meters apart. Discuss TWO soil forming factors which are most likely to explain the differences. ,K2-UNDERSTAND
"With the aid of diagrams, describe how the soil structure influences the rate of water leaching.",K2-UNDERSTAND
Illustrate SIX processes that occur in the hydrological cycle. ,K2-UNDERSTAND
"With suitable examples, briefly discuss the importance of soil aeration.",K2-UNDERSTAND
Describe THREE factors that affect soil aeration. ,K2-UNDERSTAND
Predict the effects of excess application of nitrogen fertilizer into the soil. ,K2-UNDERSTAND
Briefly describe how riparian forests help in  reducing nitrate contamination in rivers reducing nitrate and streams. ,K2-UNDERSTAND
Discuss why the fertility program for potted plants is different from field crops. ,K2-UNDERSTAND
"Describe how the soil colloidal complex tends to serve as a ""reservoir"" for plant nutrients. ",K2-UNDERSTAND
Discuss TWO adverse consequences of using wetlands as recipients of irrigation wastewater. ,K2-UNDERSTAND
List and briefly describe the FOUR soil forming processes. ,K2-UNDERSTAND
Define cation exchange capacity (CEC) and discuss how CEC influences the status of nutrients in soil. ,K2-UNDERSTAND
Briefly explain how tillage will influence the density of soil. ,K2-UNDERSTAND
Explain the role of mesofauna in the decay of fresh organic matter.,K2-UNDERSTAND
Describe how the increase of soil organic matter level may immobilize some nutrients in soil. ,K2-UNDERSTAND
Write a short note about mulch and how mulching could help in controlling soil temperature. ,K2-UNDERSTAND
"Briefly discuss how the use of manure, organic by-products and commercial fertilizers have changed over time. ",K2-UNDERSTAND
Identify the advantages and disadvantages of in situ and ex situ means of remediating polluted soils. ,K2-UNDERSTAND
Define soil horizon and relate it with soil profile. ,K2-UNDERSTAND
Briefly explain which characteristics of alluvial soils make them ideal for agriculture. ,K2-UNDERSTAND
"Discuss why physical weathering is more prevalent in dry, cool regions while chemical weathering is more prevalent in wet, hot regions. ",K2-UNDERSTAND
Briefly explain how clay particles and soil organisms influence soil structure. ,K2-UNDERSTAND
Discuss the importance of soil structure in vegetable farms. ,K2-UNDERSTAND
Describe how pore size can affect water retention in soil. ,K2-UNDERSTAND
Describe soil colloids and their importance. ,K2-UNDERSTAND
"In soil pH, define buffering and explain why it is important in soils. ",K2-UNDERSTAND
Classify soil organisms according to their ecology and state TWO examples for each group. ,K2-UNDERSTAND
Explain why mycorrhizal fungi are important for phosphorus availability in soil. ,K2-UNDERSTAND
Describe how soils are involved in the greenhouse effects. ,K2-UNDERSTAND
Describe whether the soil is contaminated or polluted. ,K2-UNDERSTAND
Briefly discuss THREE factors with ONE example each that should be considered when determining fertilizer placement method. ,K2-UNDERSTAND
Explain why higher rates of nitrogen might be required for no tillage compared to conventional tillage. ,K2-UNDERSTAND
Briefly explain the drawbacks of using deficiency symptoms to determine fertilizer rates. ,K2-UNDERSTAND
Describe the advantages and disadvantages of foliar application in fruit crops. ,K2-UNDERSTAND
Describe conservation tillage and explain why it often requires a change in nutrient management. ,K2-UNDERSTAND
Briefly describe the stages involved in sequence assembly for the whole genome shotgun methodology. ,K2-UNDERSTAND
Discuss the significance of human genome project. ,K2-UNDERSTAND
Briefly explain the mechanism of RNA interference. ,K2-UNDERSTAND
"In a table form, state the advantages and disadvantages of X-ray crystallography and nuclear magnetic resonance in elucidating the three dimensional structure of proteins. ",K2-UNDERSTAND
Eukaryotic genome is mostly repetitive DNA and non-coding sequences. Elaborate the statement. ,K2-UNDERSTAND
Describe briefly the experimental flow of fluorescent in situ hybridization (FISH). List THREE of its major applications. ,K2-UNDERSTAND
GenBank offers a few options for nucleotide sequence submissions. Name TWO available options and when are they used. ,K2-UNDERSTAND
"Contrast the following basic BLAST programs: PSI-BLAST, PHI-BLAST and tBLASTX.",K2-UNDERSTAND
List the advantages and limitations of protein crystal structure determination using X-Ray crystallography. ,K2-UNDERSTAND
"Comparing to the reference sequence, identify the functional elements to represent S2 and S3, respectively. ",K2-UNDERSTAND
Discuss the significance of genome studies in molecular medicine.,K2-UNDERSTAND
State the importance of data generated from a given hydrophobicity plot. Describe the relevant information that can be deduced from the plot generated. ,K2-UNDERSTAND
Briefly explain if restriction mapping is useful in determining the presence of minisatellite. ,K2-UNDERSTAND
Describe the methodology of determining the transcriptional start site using RACE-PCR. ,K2-UNDERSTAND
Briefly describe the hierarchical classification of proteins using CATH classification. ,K2-UNDERSTAND
CATH and SCOP are databases that hierarchically classify protein domains according to their structures. Describe the CATH protein classification system. ,K2-UNDERSTAND
Briefly describe the BLOSUM scoring matrix. ,K2-UNDERSTAND
Discuss the significance of hydrophobicity plot in transmembrane protein research. ,K2-UNDERSTAND
Highlight the importance of bioinformatics analysis in genomic studies. ,K2-UNDERSTAND
State the significance of “Score” in the BlastX alignment. ,K2-UNDERSTAND
"In a table, list EIGHT differences between GenBank and RefSeq DNA sequences. ",K2-UNDERSTAND
Briefly describe the disadvantages of characterising three dimensional protein structures using X-ray diffraction. ,K2-UNDERSTAND
Define “ecosystem services” and describe how they are benefiting our society. ,K2-UNDERSTAND
"Using an appropriate example, describe how competitive ELISA works. ",K2-UNDERSTAND
List and explain THREE factors that are affecting microbial biodegradation rates of petroleum hydrocarbon. ,K2-UNDERSTAND
Describe the circumstances when tertiary treatment of wastewater is necessary. ,K2-UNDERSTAND
"Explain why bogs are considered to be a ""carbon sink"". ",K2-UNDERSTAND
Describe the major functions or roles of soil microbes that beneficially impact human health and welfare. ,K2-UNDERSTAND
"Explain the microbe-related coupling of carbon, nitrogen, and oxygen in a lake that is experiencing a sudden bloom of cyanobacteria due to anthropogenic fertilizer inputs. ",K2-UNDERSTAND
Define “biogeochemical cycling” and discuss its importance to the ecosystem and survival of living organisms. ,K2-UNDERSTAND
Explain why hazard identification in the case of pathogens is complicated. ,K2-UNDERSTAND
Describe the formation of an aquatic dead zone. ,K2-UNDERSTAND
List and explain TWO simple techniques used to prepare colloids by mean of dispersion. Use simple diagrams to clarify the explanation.,K2-UNDERSTAND
Give the appropriate formula to calculate the velocity of the sedimentation. ,K2-UNDERSTAND
The oscillating jet method is commonly used to study the surface/interfacial tensions. Give another THREE methods that are used to measure surface/interfacial tension. ,K2-UNDERSTAND
Briefly explain the main feature of the structures of dilute foams and concentrated foams. ,K2-UNDERSTAND
Give TWO methods to measure the surface coverage. ,K2-UNDERSTAND
Briefly explain why fatty acids such as stearic acid can be used in Langmuir Blodgett (LB) film deposition and how the monolayer is formed.,K2-UNDERSTAND
Give the appropriate formula to calculate the kinetic energy of sodium. ,K2-UNDERSTAND
Briefly explain the Auger process. ,K2-UNDERSTAND
Give TWO disadvantages of Transmission Electron Microscopy (TEM). ,K2-UNDERSTAND
Give TWO functions of egg yolks in mayonnaise production. ,K2-UNDERSTAND
Explain in detail the chemisorptions of ammonia. Focus only on molecular adsorption of ammonia on a solid surface at low temperature.,K2-UNDERSTAND
Explain briefly how the aggregation processes could improve the water quality in a water treatment plant. ,K2-UNDERSTAND
Give THREE disadvantages of X-Ray Photoelectron Spectroscopy (XPS). ,K2-UNDERSTAND
Briefly explain why does surface tension remain constant once critical micelle concentration (CMC) is reached.,K2-UNDERSTAND
Name the TWO ways of how molecules bonded to surface. Provide a brief description on the modes of adsorption. ,K2-UNDERSTAND
Briefly explain the differences between and Langmuir-Blodgett (LB) monolayer and self-assembled monolayer (SAM). ,K2-UNDERSTAND
"Explain in detail the chemisorptions of hydrocarbon (eg. alkene, alkyne etc). Focus only on molecular adsorption of hydrocarbon on solid surface at low temperature.",K2-UNDERSTAND
Briefly explain how the aggregation processes could improve the water quality in a water treatment plant.,K2-UNDERSTAND
Briefly explain why formation of solid forms in final product such as glasses and bottles in glass industry is a disadvantage. ,K2-UNDERSTAND
Give FOUR information that can be obtained from Scanning Electron Miscroscope (SEM).,K2-UNDERSTAND
Describe the electrokinetic phenomenon. ,K2-UNDERSTAND
Briefly explain why coating a nanoparticle or surface with a polyelectrolyte (polymer with ionizable groups) is favourable. ,K2-UNDERSTAND
Briefly explain why surface tension remains constant once critical micelle concentration (CMC) is reached. ,K2-UNDERSTAND
Briefly explain and draw the structure of dilute foams and concentrated foams. ,K2-UNDERSTAND
Briefly explain the differences between a Langmuir-Blodgett (LB) monolayer and a self-assembled monolayer (SAM). ,K2-UNDERSTAND
Briefly explain the Auger process. ,K2-UNDERSTAND
Give TWO advantages of X-Ray Photoelectron Spectroscopy (XPS). ,K2-UNDERSTAND
Briefly explain how aggregation processes could improve the water quality in a water treatment plant. ,K2-UNDERSTAND
Draw the hexapeptide Gly-Phe-Asp-Leu-Ala-Glu. Identify the formation of hydrogen bonding in an a-helix form of this hexapeptide.,K2-UNDERSTAND
"Describe the common structural features of phosphatidylserine, phosphatidylethanolamine, phosphatidylcholine and phosphatidylinositol. State their general function(s). ",K2-UNDERSTAND
Explain the processing of eukaryotic mRNA transcripts prior to translation. Indicate the chemical bases for each step. ,K2-UNDERSTAND
"List the five groupings of amino acids based on the R groups, Give one example for each group. ",K2-UNDERSTAND
Name and briefly describe three types of column chromatography used in protein purification.,K2-UNDERSTAND
Define the chemical interaction indicated by the arrows. Identify the binding region of an antigen on the antibody structure.,K2-UNDERSTAND
Name the four different types of interactions involved in building the tertiary structure of proteins and give one denaturing agent for each.,K2-UNDERSTAND
Name the two classes of monosaccharide. Draw and name the simplest structure of molecule in each class. ,K2-UNDERSTAND
Write short notes on the structure and functions of polysaccharides by giving relevant example. ,K2-UNDERSTAND
"List the three types of RNA involved in the transcription and translation, and briefly explain their functions. ",K2-UNDERSTAND
Name FOUR enzymes in DNA replication and state their functions. ,K2-UNDERSTAND
Write short notes on the structure of RNA. ,K2-UNDERSTAND
"Using Marginal approach, explain and identify how many unit of CD players should the firm producer per day if its goal is to maximize its profit.",K3-APPLY
Assuming that this monopolist is regulated to produce at that quantity where price equals average total cost. Calculate and find out what is the quantity the monopolist will produce and the price it will charge given this regulatory scenario.,K3-APPLY
Identify THREE (3) types of imperfectly competitive firms and construct THREE (3) important characteristics of these imperfectly competitive firms.,K3-APPLY
"Jason spends all his income on meat and bread. Assume bread as a giffen good, draw Jason's price consumption curve and demand curve for bread when the price of bread falls. Support your answer with explanation for 3 consumption bundles. ",K3-APPLY
Determine the equilibrium price and quantity.,K3-APPLY
Determine the amount of shortage or surplus if government decides to impose the price at RM1.50/kg. Support your answer with numerical explanations. ,K3-APPLY
"Suppose milk and yogurt are within Sophie's budget and she views yogurt as an inferior good. Using indifference curve and budget line, explain the substitution, income and total effects when the price of yogurt falls. ",K3-APPLY
The news reported that the chicken consumption in Malaysia has fallen by 17.25 percent. Use firm and industry diagrams to explain the short run and long run effects. ,K3-APPLY
Compute the value of the government multiplier and tax multiplier in an open economy. ,K3-APPLY
"Using the multiplier approach, suppose government increases spending to 2200 and decreases tax by 500, calculate the new equilibrium output level and the new balance of trade.",K3-APPLY
Determine which country enjoys comparative advantage in the production of cotton and silk respectively. Support your answer by calculating the opportunity costs of each. ,K3-APPLY
"Inflation is one of the major concerns of all countries in the world. Discuss how the Bank Negara Malaysia (BNM) would fight against inflation problem and by using appropriate diagrams, show how the BNM actions affect the investment level and equilibrium output level. ",K3-APPLY
Calculate the equilibrium level of income for Cambodia. ,K3-APPLY
Calculate the balance of trade when the economy is at equilibrium and interpret your answer. ,K3-APPLY
Calculate the level of output needed to be achieved by Cambodia in order to maintain a balanced trade account.,K3-APPLY
Determine the values of Cambodia's government spending multiplier in closed and open economy. Explain which multiplier has the greater impact on the Cambodia economy. ,K3-APPLY
Suppose the two countries wish to specialize and trade. Specifically determine and explain which country enjoys comparative advantage in the production of sugar cane and blue agave. ,K3-APPLY
Calculate the equilibrium level of output for four sectors economy with taxes. ,K3-APPLY
Calculate the balance of trade when the economy is at equilibrium. ,K3-APPLY
"Using the open economy multiplier approach, calculate the new equilibrium output level and new balance of trade if the government decreases spending to RM 1200 million and increases tax by RM 300 million. ",K3-APPLY
The unemployment problem can be overcome by increasing the aggregate output in a country. Explain THREE (3) multiplier concepts that can be applied in this problem. ,K3-APPLY
Calculate the equilibrium level of income for this economy. ,K3-APPLY
Calculate the balance of trade when the economy is at equilibrium and interpret the answer. ,K3-APPLY
Calculate the level of output Japan needs to achieve in order to maintain a balanced trade account. ,K3-APPLY
Determine the values of government multiplier and tax multiplier in open economy for Japan. Explain which multiplier has greater impact on the economy. ,K3-APPLY
Suppose the two countries wish to specialize and trade. Specifically determine and explain which country enjoys comparative advantage in the production of jade and diamond. ,K3-APPLY
"A banker's acceptance (BA) is a promised future payment, or time draft, which is accepted and guaranteed by a bank and drawn on a deposit at the bank. The BA specifies the amount of money, the date, and the person to whom the payment is due. Draw and explain the sequence of a banker's acceptance transaction. ",K3-APPLY
"A five-year, RM1,000 par value bond with a 6 percent semi-annual coupon is trading at current yield of 4 percent. Compute the duration of the bond. ",K3-APPLY
"Compute the duration for a five-year bond, RM1,000 par value bond with a 7 percent annual coupon which is trading at yield to maturity of 5 percent. ",K3-APPLY
"If the value of the bond is RM900 and coupon are paid semi-annually, compute the yield to maturity (YTM) and the current yield of the bond. Interpret your answers. ",K3-APPLY
"Define and discuss the Sharpe, Treynor, and Jensen measures of portfolio performance evaluation by identifying the situations in which each measure is the most appropriate measure. ",K3-APPLY
"The correlation between the S&P 500 index fund and the emerging market fund is zero. Consider portfolio A, which consists of 80% of the S&P index fund and 20% of the emerging-market fund. Calculate portfolio A's expected return and standard deviation. ",K3-APPLY
Consider a zero coupon bond with a par value of $1000 that has a current price of $436.19 and matures in 10 years. Compute its yield to maturity. ,K3-APPLY
"Calculate Sharpe's measure for the AOV Portfolio and the market. Compare the TWO (2) measures, and assess the performance of the AOV's portfolio during the year just ended. ",K3-APPLY
"Calculate Treynor's measure for AOV's Portfolio and the market. Compare the TWO (2) measures, and assess the performance of the AOV's portfolio during the year just ended. ",K3-APPLY
Calculate Jensen's measure (Jensen's alpha). Use it to assess the performance of the AOV's Portfolio during the year just ended. ,K3-APPLY
Determine the intrinsic value of KMK Corporation's common stock. ,K3-APPLY
Determine the Macaulay duration and estimate the bond price if the yield increases by 100 basis points. ,K3-APPLY
"Discuss in detail the Sharpe, Treynor, and Jensen measures of portfolio performance evaluation, by identifying the situations in which each measure is the most appropriate measure. ",K3-APPLY
Construct an executive remuneration package using the remuneration framework as a guide. ,K3-APPLY
Draw ONE (1) organic shape and ONE (1) geometric shape. Apply tone and shading.,K3-APPLY
Jolly and Bolitho (1998) proposed a 7-stage framework to show the process of material design. Apply the framework through use of media to teach 14 year old students action verbs. State the type of media that is going to be used for the lesson. ,K3-APPLY
"Within an organization, each employee holds different roles in the informal communication networks. Explain any FOUR (4) roles with an example for each role. ",K3-APPLY
Sketch a diagram to illustrate the activities and products in the construction industry. ,K3-APPLY
"Your profit from previous project is RM30,000.00 and you just won a new project to construct a new airport runway at Sepang, Selangor. Decide whether you are going to purchase the bulldozer or pay out bonuses to your staff. Use the concept of opportunities cost, choices and scarcity to aid your explanation. ",K3-APPLY
Calculate the market demand and market supply in table form. ,K3-APPLY
Draw a production possibility curve to show the combination of flats and houses which could be achieved on the site. ,K3-APPLY
Calculate the market demand and market supply in table form. ,K3-APPLY
"Draw a body-centered cubic (BCC) unit cell. Calculate the volume density and area density on the (0, 0. 1) plane of a BCC cell if the lattice constant is 2.3 Å. Give a brief explanation of your calculations. ",K3-APPLY
